Hugo_Symbol,ensembl_gene_id,start_position,end_position,strand,transcript_count,percentage_gene_gc_content,gene_biotype
A1BG,ENSG00000121410,58345178,58353499,-1,5,55.83,protein_coding
A1BG-AS1,ENSG00000268895,58347751,58355183,1,7,55.91,antisense
A1CF,ENSG00000148584,50799409,50885675,-1,10,36.24,protein_coding
A2M,ENSG00000175899,9067664,9116229,-1,13,37.18,protein_coding
A2M-AS1,ENSG00000245105,9065177,9068684,1,2,46.12,antisense
A2ML1,ENSG00000166535,8822472,8887001,1,9,44.25,protein_coding
A2ML1-AS1,ENSG00000256661,8776219,8830947,-1,1,44.16,antisense
A2ML1-AS2,ENSG00000256904,8819816,8820713,-1,1,48.89,antisense
A2MP1,ENSG00000256069,9228533,9275817,-1,4,37.03,transcribed_unprocessed_pseudogene
A3GALT2,ENSG00000184389,33306766,33321098,-1,1,54.19,protein_coding
A4GALT,ENSG00000128274,42692112,42721298,-1,7,52.4,protein_coding
A4GNT,ENSG00000118017,138123718,138132387,-1,1,42.65,protein_coding
AAAS,ENSG00000094914,53307456,53324864,-1,20,49.39,protein_coding
AACS,ENSG00000081760,125065379,125143333,1,12,51.22,protein_coding
AACSP1,ENSG00000250420,178764861,178818435,-1,2,48.81,transcribed_unprocessed_pseudogene
AADAC,ENSG00000114771,151814037,151828488,1,2,35.33,protein_coding
AADACL2,"ENSG00000261846, ENSG00000197953","151744454, 151733916","151770036, 151761339",1,2,"35.43, 35.3",protein_coding
AADACL2-AS1,"ENSG00000262466, ENSG00000242908","151761981, 151751443","151765669, 151928175",-1,2,"35.59, 36.95",antisense
AADACL3,ENSG00000188984,12716115,12728759,1,2,46.11,protein_coding
AADACL4,ENSG00000204518,12644547,12667086,1,1,47.24,protein_coding
AADACP1,ENSG00000240602,151770428,151784894,1,6,33.97,transcribed_unprocessed_pseudogene
AADAT,ENSG00000109576,170060222,170091699,-1,8,38.78,protein_coding
AAGAB,ENSG00000103591,67201033,67255195,-1,7,39.49,protein_coding
AAK1,ENSG00000115977,69457997,69674349,-1,13,41.95,protein_coding
AAMDC,ENSG00000087884,77821109,77918432,1,12,41.82,protein_coding
AAMP,ENSG00000127837,218264123,218270257,-1,10,56.53,protein_coding
AANAT,ENSG00000129673,76453351,76470117,1,4,53.01,protein_coding
AAR2,ENSG00000131043,36236459,36270918,1,3,47.41,protein_coding
AARD,ENSG00000205002,116938199,116944487,1,2,43.15,protein_coding
AARS,ENSG00000090861,70252295,70289543,-1,7,49.47,protein_coding
AARS2,ENSG00000124608,44299654,44313326,-1,2,54.66,protein_coding
AARSD1,ENSG00000266967,42950526,42964498,-1,19,48.21,protein_coding
AARSP1,ENSG00000249038,132592084,132592536,1,1,49.89,processed_pseudogene
AASDH,ENSG00000157426,56338287,56387508,-1,10,38.98,protein_coding
AASDHPPT,ENSG00000149313,106075501,106098710,1,5,36.57,protein_coding
AASS,ENSG00000008311,122075647,122144280,-1,7,36.48,protein_coding
AATBC,ENSG00000215458,43805758,43812567,-1,3,60.18,antisense
AATF,"ENSG00000276072, ENSG00000275700","36950708, 36948875","37058704, 37056871",1,9,40.51,protein_coding
AATK,ENSG00000181409,81117295,81166077,-1,11,61.42,protein_coding
ABALON,ENSG00000281376,31721507,31723409,1,1,56.54,antisense
ABAT,ENSG00000183044,8674565,8784575,1,16,47.35,protein_coding
ABCA1,ENSG00000165029,104781002,104928237,-1,4,43.42,protein_coding
ABCA10,ENSG00000154263,69147214,69244846,-1,12,36.13,protein_coding
ABCA11P,ENSG00000251595,425435,474129,-1,4,39.69,transcribed_processed_pseudogene
ABCA12,ENSG00000144452,214931542,215138428,-1,3,37.18,protein_coding
ABCA13,ENSG00000179869,48171458,48647496,1,8,38.84,protein_coding
ABCA17P,ENSG00000238098,2339150,2426699,1,7,43.85,transcribed_unitary_pseudogene
ABCA2,ENSG00000107331,137007227,137028922,-1,24,66.66,protein_coding
ABCA3,ENSG00000167972,2275881,2340746,-1,6,53.03,protein_coding
ABCA4,ENSG00000198691,93992835,94121132,-1,8,46.44,protein_coding
ABCA5,ENSG00000154265,69244311,69327244,-1,14,34.61,protein_coding
ABCA6,ENSG00000154262,69078702,69141888,-1,7,36.3,protein_coding
ABCA7,ENSG00000064687,1040101,1065572,1,19,60.49,protein_coding
ABCA8,ENSG00000141338,68867292,68955392,-1,15,36.81,protein_coding
ABCA9,ENSG00000154258,68974488,69061064,-1,8,37.68,protein_coding
ABCA9-AS1,ENSG00000231749,68944531,69042784,1,7,37.94,antisense
ABCB1,ENSG00000085563,87503633,87713323,-1,11,37.04,protein_coding
ABCB10,ENSG00000135776,229516582,229558695,-1,3,43.62,protein_coding
ABCB10P1,"ENSG00000274099, ENSG00000280461, ENSG00000281173","23179869, 23183337, 23184646","23182049, 23185517, 23186826",1,1,56.3,processed_pseudogene
ABCB10P3,"ENSG00000261524, ENSG00000282479","28402868, 28515677","28405033, 28517839",1,1,"56.19, 56.22",processed_pseudogene
ABCB10P4,"ENSG00000260053, ENSG00000282004, ENSG00000274192","28506625, 28648137, 28518244","28508808, 28650318, 28520426",-1,1,"56.18, 56.28, 56.21",processed_pseudogene
ABCB11,"ENSG00000073734, ENSG00000276582","168915498, 168939927","169031324, 168953422",-1,"7, 2","37.01, 39.4",protein_coding
ABCB4,ENSG00000005471,87401697,87480435,-1,13,38.6,protein_coding
ABCB5,ENSG00000004846,20615207,20777038,1,6,37.73,protein_coding
ABCB6,ENSG00000115657,219209766,219219017,-1,13,54.52,protein_coding
ABCB7,ENSG00000131269,75051554,75156732,-1,13,36.02,protein_coding
ABCB8,ENSG00000197150,151028422,151047782,1,22,57.04,protein_coding
ABCB9,ENSG00000150967,122920951,122981649,-1,21,52.47,protein_coding
ABCC1,"ENSG00000103222, ENSG00000278183","15949577, 16034690","16143074, 16228109",1,"8, 7","48.48, 48.47",protein_coding
ABCC10,ENSG00000124574,43427366,43450430,1,10,52.94,protein_coding
ABCC11,ENSG00000121270,48166910,48247568,-1,9,45.62,protein_coding
ABCC12,ENSG00000140798,48081006,48156018,-1,13,47.26,protein_coding
ABCC13,ENSG00000243064,14236206,14362754,1,6,36.49,transcribed_unprocessed_pseudogene
ABCC2,ENSG00000023839,99782640,99852594,1,11,45.05,protein_coding
ABCC3,ENSG00000108846,50634777,50692252,1,18,51.95,protein_coding
ABCC4,ENSG00000125257,95019829,95301475,-1,17,42.34,protein_coding
ABCC5,ENSG00000114770,183919934,184018015,-1,13,44.7,protein_coding
ABCC5-AS1,ENSG00000223882,184006338,184011419,1,1,42.17,antisense
ABCC6,"ENSG00000275331, ENSG00000091262","16233991, 16148928","16308660, 16223522",-1,"8, 9",49.86,protein_coding
ABCC6P1,ENSG00000256340,18571162,18598328,1,4,47.92,transcribed_unprocessed_pseudogene
ABCC6P2,"ENSG00000255277, ENSG00000273808","14820792, 15389326","14824702, 15393236","-1, 1",2,49.25,transcribed_unprocessed_pseudogene
ABCC8,ENSG00000006071,17392498,17476879,-1,55,50.02,protein_coding
ABCC9,ENSG00000069431,21797401,21942529,-1,7,36.12,protein_coding
ABCD1,ENSG00000101986,153724868,153744762,1,3,58.36,protein_coding
ABCD1P2,ENSG00000215151,38601418,38605609,1,1,61.28,unprocessed_pseudogene
ABCD1P3,ENSG00000261233,32475051,32478250,-1,1,60.81,unprocessed_pseudogene
ABCD1P4,ENSG00000225293,16387694,16390887,1,1,61.11,unprocessed_pseudogene
ABCD1P5,ENSG00000214330,91840601,91843802,1,1,60.81,unprocessed_pseudogene
ABCD2,ENSG00000173208,39550033,39619751,-1,1,34.95,protein_coding
ABCD3,ENSG00000117528,94418455,94518666,1,7,37.04,protein_coding
ABCD4,ENSG00000119688,74285423,74303056,-1,28,51.47,protein_coding
ABCE1,ENSG00000164163,145097932,145129179,1,10,35.08,protein_coding
